idx,aatr,class,session_id,action_index,path,asset_taxonomy,is_real_asset,is_honey_sensitive,router_route,router_delay_ms,router_http_status,router_roundtrip_ms,router_score,trap_sink_routed,deception_route_achieved,maze_activated,in_maze,tokens,tool_calls,router_reasons
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,8,/var/log/auth.log,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,2.229,0.5333333333333362,True,True,False,True,1627,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.77;logic_budget_high_pressure"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,9,/api/v1/config,honey_surface,False,True,trap_sink,3150,200,1.432,0.5433333333333362,True,True,False,True,1770,1,"suspicious_user_agent;missing_headers:accept,accept-language;decoy_touched;ai_behavior_detected;logic_budget_pressure:0.81;logic_budget_high_pressure"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,10,/admin/dashboard,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,1.53,0.5378787878787906,True,True,False,True,1909,1,"suspicious_user_agent;missing_headers:accept,accept-language;suspicious_path;ai_behavior_detected;logic_budget_pressure:0.85;logic_budget_high_pressure"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,11,/proc/net/tcp,sentinel_real_asset,True,False,trap_sink,3150,200,2.012,0.5333333333333362,True,True,False,True,2058,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.89;logic_budget_high_pressure"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,12,/api/v1/users,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,2.225,0.5294871794871823,True,True,False,True,2200,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.91;logic_budget_high_pressure"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,13,/etc/passwd,sentinel_real_asset,True,False,trap_sink,3150,200,2.164,0.526190476190479,True,True,False,True,2341,1,"suspicious_user_agent;missing_headers:accept,accept-language;suspicious_path;ai_behavior_detected;logic_budget_pressure:0.91;logic_budget_high_pressure"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,14,/.env,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,1.656,0.5233333333333361,True,True,False,True,2489,1,"suspicious_user_agent;missing_headers:accept,accept-language;suspicious_path;ai_behavior_detected;logic_budget_pressure:0.90;logic_budget_high_pressure"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,15,/config/database.yml,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,1.8,0.5208333333333361,True,True,False,True,2635,1,"suspicious_user_agent;missing_headers:accept,accept-language;suspicious_path;ai_behavior_detected;logic_budget_pressure:0.90;logic_budget_high_pressure"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,16,/var/www/.git/config,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,1.679,0.518627450980395,True,True,False,True,2787,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.90;logic_budget_high_pressure"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,17,/root/.bash_history,sentinel_adjacent_synthetic_probe,False,False,trap_sink,3150,200,1.966,0.5166666666666695,True,True,False,True,2933,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.90;logic_budget_high_pressure"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,18,/app/config.json,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,2.994,0.5149122807017571,True,True,False,True,3075,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.90;logic_budget_high_pressure"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,19,/home/admin/.ssh/id_rsa,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,3.216,0.5133333333333361,True,True,False,True,3223,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.90;logic_budget_high_pressure"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,0,/etc/shadow,sentinel_real_asset,True,False,disinformation,0,200,2.249,0.125,False,True,False,True,442,1,"suspicious_user_agent;missing_headers:accept,accept-language;suspicious_path;logic_budget_pressure:0.21"
